timestamp,cross_track_error,current_velocity,goal_velocity,x_m,y_m
1739219905.40834437,-1.3050081158764897,0.0012,3,-913.1464744874344,793.2668040823194
1739219905.92969097,-1.304986823780292,0.0002,3,-913.1465456238084,793.266882553252
1739219905.214849311,-1.304986823780292,0.0002,3,-913.1465456238084,793.266882553252
1739219905.324444846,-1.304986823780292,0.0002,3,-913.1465456238084,793.266882553252
1739219905.381942715,-1.3054490690400664,0.0082,3,-913.1467645334722,793.2664699342627
1739219905.547491681,-1.3054490690400664,0.0082,3,-913.1467645334722,793.2664699342627
1739219905.608818402,-1.280035222037481,0.7387,3,-913.066820704968,793.2402905749777
1739219905.655568540,-1.2656055488384617,0.8926,3,-913.0191486290037,793.2248299481229
1739219905.706351669,-1.2541393316232192,0.9757,3,-912.9748643421987,793.208110686037
1739219905.774303301,-1.2443217651149285,1.1228,3,-912.9293927428799,793.1885386670886
1739219905.939180358,-1.2269426998368178,1.4155,3,-912.8466329280881,793.1518821770362
1739219905.963377120,-1.1730605615313854,2.0146,3,-912.5703086119778,793.0240460917619
1739219905.980901482,-1.1647693137390605,2.0808,3,-912.532420259495,793.0076573138359
1739219906.1558593,-1.1551157611992402,2.0968,3,-912.4933552196219,792.9920957871004
1739219906.24831947,-1.1464657246922687,2.0727,3,-912.4548848157667,792.9757198995516
1739219906.52027215,-1.137361706649967,2.1184,3,-912.4157065908048,792.9594026212745
1739219906.79847766,-1.1268577508215805,2.1583,3,-912.3752149071723,792.9438743188019
1739219906.99727108,-1.0998939675150392,2.348,3,-912.286974886607,792.9149958223336
1739219906.123549389,-1.0846602971069423,2.4058,3,-912.2408992319228,792.9013256282421
1739219906.140239371,-1.0678287110293658,2.4536,3,-912.193382389762,792.8886014224979
1739219906.180322842,-1.0586894276888645,2.4491,3,-912.1693156484383,792.8829075203168
1739219906.209157657,-1.0056293778400864,2.5646,3,-912.0501724201071,792.8642602071516
1739219906.226660515,-0.9703750980257929,2.5857,3,-911.9729078068481,792.8531965678258
1739219906.242478608,-0.9572683960573689,2.6325,3,-911.9449899108611,792.8496486097754
1739219906.258657202,-0.9448657396534779,2.6725,3,-911.9183563861105,792.8461404957245
1739219906.274520097,-0.9186717889380457,2.7245,3,-911.8641681070817,792.8401741817901
1739219906.294313579,-0.8905605178191535,2.7093,3,-911.8093722312046,792.8361229055387
1739219906.314430919,-0.8623106234007887,2.7186,3,-911.7547386720966,792.8323545144922
1739219906.330106316,-0.8324230339151327,2.8339,3,-911.6986293373237,792.8295522338292
1739219906.343473169,-0.7978876473725982,2.8505,3,-911.6405152253119,792.8310203371274
1739219906.357773546,-0.7825059543385261,2.8232,3,-911.6119005104526,792.829761740226
1739219906.373528116,-0.7670118074829825,2.8211,3,-911.58340252239,792.828722156506
1739219906.388597111,-0.7337261591483061,2.9233,3,-911.5252043129358,792.8286056894702
1739219906.403666139,-0.7166284915859137,2.9594,3,-911.495540639505,792.8287073597977
1739219906.418145950,-0.6835950499716571,2.9411,3,-911.435939749594,792.8273007534744
1739219906.432615648,-0.667494932969913,2.9134,3,-911.4065004868187,792.8263417734588
1739219906.446990494,-0.6339970397320139,2.9772,3,-911.3478153256688,792.8261433528448
1739219906.462001214,-0.6167416041255837,3.0123,3,-911.317577060929,792.8260352781613
1739219906.476062954,-0.5826829270396833,3.033,3,-911.2566481684051,792.8249503532937
1739219906.489942956,-0.5661860788354499,3.0336,3,-911.2261709492929,792.8237488963664
1739219906.504391149,-0.5497962961975178,3.0454,3,-911.1955259117059,792.8222992286304
1739219906.518347443,-0.5160841069123083,3.1196,3,-911.1334678815239,792.8200007146694
1739219906.531170586,-0.4985964461673786,3.1207,3,-911.1019727505455,792.8192960832953
1739219906.545670430,-0.4677833026188465,3.0967,3,-911.0391687693481,792.8129361751766
1739219906.558711185,-0.4519659497024887,3.0966,3,-911.0080202768393,792.8104351934588
1739219906.571340685,-0.43662786034627465,3.1015,3,-910.976953922701,792.8074066478333
1739219906.583411723,-0.42135257566643824,3.1056,3,-910.9458875688006,792.8043014318378
1739219906.595279101,-0.38995861644831026,3.1169,3,-910.8834994029249,792.7989417150862
1739219906.608753416,-0.3739470087974097,3.1232,3,-910.8520097729511,792.7964390023654
1739219906.621083572,-0.3581526777063807,3.1321,3,-910.8205000982555,792.7936570081963
1739219906.634579904,-0.32379100601695504,3.2025,3,-910.7550872844537,792.7898023168605
1739219906.647434153,-0.30871579481649764,3.2113,3,-910.7229884749828,792.7857299224125
1739219906.660287314,-0.2940779717511468,3.1813,3,-910.6911541658234,792.7813087807564
1739219906.674027308,-0.26584742472184075,3.1585,3,-910.6281367755039,792.7716466631683
1739219906.687147203,-0.2516284484735806,3.1793,3,-910.5963991482071,792.7667819025605
1739219906.699961770,-0.2422502581467294,3.195,3,-910.5630493501372,792.7548787794543
1739219906.714001877,-0.2277823063905091,3.1986,3,-910.531047222291,792.7501327565434
1739219906.726184152,-0.20101721384893756,3.1881,3,-910.4676651080771,792.7384262675389
1739219906.739877008,-0.18839289535564827,3.2024,3,-910.4361683944496,792.7317834784177
1739219906.753228404,-0.1678140047492791,3.2868,3,-910.3723071654766,792.7121895511495
1739219906.767780635,-0.15568614197498776,3.2699,3,-910.3401902701179,792.704506445571
1739219906.782234172,-0.14384927561571975,3.2277,3,-910.3084345576341,792.6967210019121
1739219906.798114957,-0.12092246701032698,3.2041,3,-910.2457166329251,792.6807939034808
1739219906.811910506,-0.10892538617185765,3.2182,3,-910.2127512268237,792.6723570089941
1739219906.824574024,-0.08913838698858734,3.2046,3,-910.1509109007548,792.6532114123069
1739219906.838120920,-0.07931292332775963,3.2002,3,-910.1200363281557,792.6435874802236
1739219906.852200804,-0.06931444384231511,3.2157,3,-910.089013982029,792.6340712893243
1739219906.866413593,-0.05146106751575254,3.2599,3,-910.0290397019211,792.6138717944808
1739219906.878703170,-0.04370952931865638,3.268,3,-909.9984881813622,792.6019422703333
1739219906.891032622,-0.03638491748518607,3.264,3,-909.9681099802694,792.5896129249267
1739219906.908414578,-0.021662707379383722,3.1984,3,-909.9078204852833,792.5653702660437
1739219907.258266333,0.046339353876605455,3.2013,3,-908.9866565894093,792.003379551366
